iter	Passed	Remaining
0	133	133505
1	134	66995
2	134	44810
3	135	33731
4	136	27086
5	136	22656
6	137	19494
7	138	17152
8	139	15316
9	139	13841
10	140	12636
11	141	11631
12	141	10776
13	142	10043
14	143	9409
15	144	8859
16	144	8381
17	145	7944
18	146	7552
19	146	7199
20	147	6878
21	148	6588
22	148	6322
23	149	6080
24	150	5866
25	151	5669
26	152	5483
27	152	5306
28	154	5161
29	154	5007
30	155	4862
31	156	4728
32	157	4604
33	157	4484
34	158	4370
35	159	4262
36	159	4161
37	160	4064
38	161	3973
39	162	3891
40	162	3811
41	163	3734
42	164	3659
43	165	3590
44	166	3525
45	166	3463
46	167	3398
47	168	3339
48	169	3282
49	169	3228
50	170	3176
51	171	3125
52	172	3075
53	172	3027
54	173	2981
55	174	2937
56	175	2898
57	175	2857
58	176	2819
59	177	2779
60	178	2743
61	178	2706
62	179	2671
63	180	2640
64	181	2606
65	181	2573
66	182	2542
67	183	2511
68	183	2481
69	184	2453
70	185	2425
71	186	2398
72	187	2382
73	188	2356
74	189	2332
75	189	2309
76	190	2285
77	191	2261
78	191	2237
79	192	2215
80	193	2193
81	194	2172
82	194	2147
83	195	2127
84	195	2107
85	196	2088
86	197	2070
87	198	2052
88	198	2036
89	199	2019
90	200	2001
91	201	1985
92	201	1968
93	202	1951
94	203	1934
95	203	1918
96	204	1903
97	205	1889
98	206	1874
99	206	1860
100	207	1847
101	208	1832
102	208	1818
103	209	1805
104	210	1792
105	211	1782
106	212	1771
107	212	1758
108	213	1746
109	214	1734
110	215	1722
111	215	1709
112	216	1698
113	217	1688
114	218	1677
115	218	1667
116	219	1656
117	220	1645
118	220	1634
119	221	1623
120	222	1612
121	222	1601
122	223	1592
123	224	1583
124	224	1574
125	225	1564
126	226	1554
127	226	1545
128	227	1536
129	228	1526
130	228	1517
131	229	1510
132	230	1502
133	231	1494
134	232	1487
135	232	1478
136	233	1470
137	234	1462
138	234	1454
139	235	1447
140	236	1440
141	237	1432
142	237	1425
143	238	1417
144	239	1410
145	239	1403
146	240	1395
147	241	1389
148	242	1383
149	242	1376
150	243	1369
151	244	1363
152	245	1356
153	245	1350
154	246	1344
155	247	1337
156	248	1332
157	248	1326
158	249	1320
159	250	1314
160	250	1306
161	251	1301
162	252	1295
163	252	1289
164	253	1283
165	254	1278
166	255	1273
167	256	1268
168	256	1263
169	257	1258
170	258	1253
171	259	1248
172	260	1243
173	261	1240
174	261	1234
175	262	1229
176	263	1224
177	264	1220
178	265	1215
179	265	1211
180	266	1207
181	267	1202
182	268	1197
183	269	1193
184	269	1188
185	270	1183
186	271	1178
187	271	1174
188	272	1170
189	273	1166
190	274	1161
191	275	1157
192	275	1153
193	276	1149
194	277	1145
195	278	1141
196	279	1137
197	279	1133
198	280	1129
199	281	1125
200	282	1121
201	282	1117
202	283	1113
203	284	1109
204	285	1106
205	286	1102
206	286	1098
207	287	1095
208	288	1091
209	289	1087
210	289	1084
211	291	1081
212	291	1078
213	292	1075
214	293	1071
215	294	1067
216	295	1064
217	295	1061
218	296	1057
219	297	1053
220	298	1050
221	298	1047
222	299	1044
223	300	1041
224	301	1038
225	302	1035
226	303	1032
227	303	1029
228	304	1026
229	305	1023
230	306	1020
231	307	1017
232	308	1014
233	308	1010
234	309	1007
235	310	1004
236	311	1001
237	312	999
238	312	995
239	313	992
240	314	989
241	314	986
242	315	983
243	316	980
244	317	977
245	318	975
246	318	972
247	319	969
248	320	966
249	321	963
250	322	960
251	322	958
252	323	955
253	324	952
254	325	949
255	325	947
256	326	944
257	327	941
258	328	938
259	328	935
260	329	933
261	330	930
262	331	928
263	332	925
264	332	922
265	333	920
266	334	918
267	335	915
268	336	913
269	336	910
270	337	907
271	338	905
272	338	902
273	339	900
274	340	897
275	341	895
276	342	892
277	342	890
278	343	887
279	344	885
280	345	883
281	345	880
282	346	878
283	347	875
284	348	873
285	348	870
286	349	868
287	350	866
288	351	863
289	351	861
290	352	858
291	353	856
292	353	853
293	354	851
294	355	849
295	355	846
296	356	844
297	357	841
298	357	839
299	358	837
300	359	834
301	360	832
302	361	830
303	361	828
304	362	826
305	363	823
306	363	821
307	364	818
308	365	816
309	365	814
310	366	812
311	367	809
312	367	807
313	368	805
314	369	803
315	370	801
316	371	799
317	371	797
318	372	795
319	373	793
320	374	791
321	374	789
322	375	787
323	376	785
324	377	783
325	377	781
326	378	779
327	379	777
328	380	775
329	380	773
330	381	771
331	382	769
332	382	766
333	383	764
334	384	763
335	385	761
336	385	759
337	386	757
338	387	755
339	388	753
340	388	751
341	389	749
342	390	748
343	391	746
344	392	744
345	392	742
346	393	740
347	394	738
348	394	736
349	395	734
350	396	732
351	397	730
352	398	729
353	398	727
354	399	725
355	400	723
356	400	721
